1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
0.45426,0.05162,0.69584,0.32732,0.03694,0.84566,0.20707,0.86724,0.86724,0.54504,Phone Charger
0.06633,3.53997,1.03166,1.71147,1.50833,0.35212,0.35731,1.36667,2.14455,0.99161,Monitor
50.35774,50.13605,51.24533,51.86894,52.42369,49.05035,50.38444,53.45709,50.46194,48.9567,Electric Fan
42.80849,56.57097,61.38814,73.08645,52.85092,41.88682,50.53363,90.84392,75.5374,59.02262,Laptop Charger
8.33904,4.42241,8.94333,7.57035,9.07379,7.63848,7.73174,5.16758,6.78552,8.49799,Desk Lamp
0.44374,0.56369,0.18813,1.32125,0.23115,1.2397,0.64198,0.75471,0.71071,1.27239,Phone Charger
1.17734,1.32125,0.5346,0.52067,0.99829,3.47404,0.99161,0.24545,0.08707,1.8865,Monitor
51.21399,49.75449,47.96304,50.007,51.68749,53.33353,52.2204,51.23155,53.56471,54.14325,Electric Fan
47.73358,47.27125,53.95138,60.12351,53.33292,76.94655,53.00163,62.16044,78.35167,69.75467,Laptop Charger
5.96823,7.45909,7.9712,9.13673,8.77603,7.80348,11.9969,7.26055,6.74087,9.29321,Desk Lamp
0.53808,0.48227,1.68941,0.62127,0.57629,0.42618,0.47177,0.12166,1.14832,0.21453,Phone Charger
1.91131,0.18094,0.649,0.76881,2.20522,1.23643,2.40344,1.28217,0.97153,2.72143,Monitor
52.86985,50.70648,53.70591,50.49494,51.87391,53.77098,50.37173,50.89965,53.138,52.48762,Electric Fan
56.15593,50.48416,63.19564,46.16559,48.58193,64.68961,82.59633,65.90411,74.86426,62.44702,Laptop Charger
10.51067,6.88333,8.14982,5.86498,6.49325,12.96417,7.02024,8.89965,8.71593,8.41257,Desk Lamp
0.40661,0.25191,1.331,0.3698,0.45426,0.29695,1.16088,0.54504,0.70043,0.07001,Phone Charger
1.24297,2.46291,0.89761,0.35212,2.2957,3.87049,0.02961,1.30824,2.49846,0.13772,Monitor
54.24495,51.24658,51.96814,50.27375,52.03006,50.13605,47.84643,51.81929,51.70491,53.08811,Electric Fan
59.02262,84.96974,50.78483,48.90069,56.49476,70.27972,73.01647,51.95017,44.72915,55.09891,Laptop Charger
14.71195,6.40232,6.57468,9.56413,7.87075,8.07941,6.64675,8.51422,9.65235,5.98693,Desk Lamp
